"Offset(P)","Name","PID","PPID","PDB","Time Created","Time Exited","Hostname","Investigated"
"1.4078E+14","System","4","0","1744898","2019-02-13 23:33:01 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","9800","756","10030088194","2019-02-13 23:35:09 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","Registry","120","4","5242882","2019-02-13 23:32:59 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","NisSrv.exe","5308","756","4306763778","2019-02-13 23:33:10 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","PickerHost.exe","9092","920","12632195074","2019-02-14 02:42:53 UTC+0000","2019-02-14 02:43:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","LogonUI.exe","2940","540","16510877698","2019-02-14 05:05:06 UTC+0000","2019-02-14 18:29:39 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","516","2432","13788868610","2019-02-14 03:59:41 UTC+0000","2019-02-14 03:59:46 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","10132","2432","13267632130","2019-02-14 04:13:07 UTC+0000","2019-02-14 04:13:22 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","9144","2432","12567183362","2019-02-14 04:12:13 UTC+0000","2019-02-14 04:12:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","10792","2432","16366174210","2019-02-14 04:20:58 UTC+0000","2019-02-14 04:21:17 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","7436","2432","2518679554","2019-02-14 04:08:50 UTC+0000","2019-02-14 04:09:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","10320","2432","2409627650","2019-02-14 04:19:52 UTC+0000","2019-02-14 04:19:57 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","EXCEL.EXE","8784","2432","15762194434","2019-02-14 04:03:10 UTC+0000","2019-02-14 04:03:13 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","RuntimeBroker.","11040","920","10310647810","2019-02-13 23:35:10 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","12804","756","10115612674","2019-02-13 23:35:08 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","Microsoft.Phot","15292","920","759169026","2019-02-13 23:35:08 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","steamwebhelper","2476","1824","3316645890","2019-02-15 01:13:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","6288","756","13969129474","2019-02-14 23:33:17 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","csrss.exe","692","672","1285554178","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","smss.exe","420","4","17188323330","2019-02-13 23:33:01 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","nvcontainer.ex","6648","3424","4639817730","2019-02-13 23:33:16 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","nvcontainer.ex","6636","3424","4616552450","2019-02-13 23:33:16 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","csrss.exe","580","572","6447693826","2019-02-13 23:33:03 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2572","756","4488953858","2019-02-13 23:33:13 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","7376","756","14261682178","2019-02-14 01:34:26 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","5892","756","4454350850","2019-02-13 23:33:12 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","11772","756","14810087426","2019-02-14 02:42:02 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","vmnat.exe","3748","756","7209418754","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","wininit.exe","680","572","6483476482","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","LogonUI.exe","1064","540","6640762882","2019-02-13 23:33:05 UTC+0000","2019-02-14 02:42:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","fontdrvhost.ex","1004","540","6680543234","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","392","756","6580076546","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","fontdrvhost.ex","928","680","6520045570","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","920","756","6514868226","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","lsass.exe","768","680","6457262082","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","services.exe","756","680","6488588290","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","896","756","6580862978","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1012","756","6573522946","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","winlogon.exe","540","672","6634340354","2019-02-13 23:33:04 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","dwm.exe","1072","540","6639845378","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1652","756","6746210306","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1248","756","6693453826","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1116","756","6718750722","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1224","756","6692208642","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1240","756","6693322754","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1228","756","6692143106","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1412","756","6672154626","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1388","756","6668288002","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1452","756","6710034434","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1860","756","6780223490","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1628","756","6740967426","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1716","756","6758137858","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1680","756","6787104770","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","NVDisplay.Cont","1800","756","6773473282","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2296","756","6842548226","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2264","756","6769278978","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1564","756","6778126338","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1532","756","6779043842","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1552","756","6775308290","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1384","756","6774194178","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2004","756","6731595778","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1936","756","6826033154","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1868","756","6780289026","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1952","756","6793920514","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1996","756","6730481666","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1660","756","6779764738","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2196","756","6868238338","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2416","756","6855589890","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2408","756","6819610626","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2832","756","7037648898","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2828","756","7037583362","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2784","756","7028604930","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2844","756","7037714434","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3380","756","7165837314","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","spoolsv.exe","3164","756","7059144706","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3108","756","7109279746","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","1028","756","7074676738","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","2952","756","6946553858","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3036","756","7064387586","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3200","756","7102267394","2019-02-13 23:33:05 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","rundll32.exe","2100","3424","11950751746","2019-02-13 23:34:11 UTC+0000","2019-02-13 23:34:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3432","756","7133855746","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3408","756","7130972162","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","ibtsiva.exe","3388","756","7131430914","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3660","756","7121993730","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","SecurityHealth","3580","756","7149780994","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3552","756","7111573506","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3416","756","7131168770","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","nvcontainer.ex","3424","756","7133659138","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3396","756","7131693058","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","OVRServiceLaun","3524","756","7142506498","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","OfficeClickToR","15556","756","7349469186","2019-02-14 18:35:25 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","NvTelemetryCon","3456","756","7207649282","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3560","756","7111507970","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3636","756","7226523650","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","VirtualDesktop","3696","756","7124680706","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","3856","756","7259488258","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","MemCompression","3720","4","7201226754","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","vmnetdhcp.exe","3732","756","7243431938","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","MsMpEng.exe","3792","756","7182417922","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","dasHost.exe","4052","1996","17367564290","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","4240","756","1081114626","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","4172","756","6942621698","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","vmware-usbarbi","4196","756","7159689218","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","vmware-authd.e","4180","756","7224700930","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","svchost.exe","4080","756","1075838978","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","WUDFHost.exe","4376","756","1199693826","2019-02-13 23:33:06 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","sihost.exe","6688","2264","4653121538","2019-02-13 23:33:16 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","NVIDIA Web Hel","8060","6980","5042733058","2019-02-13 23:33:17 UTC+0000","","DESKTOP-NBVE6KH","false"
"1.4078E+14","NVDisplay.Cont","6408","1800","1811939330","2019-02-13 23:33:15 UTC+0000","","DESKTOP-NBVE6KH","false"
